geometry,Crime Description,Offense Code,Occurrence Date,Occurrence Time,Street Name,Street Type,Address Block
"X: 3125726, Y: 10069368, Z: NaN",MURDER,0100,2019-10-13T00:00:00.0000000,2358,FIESTA,ST,0
"X: 3101530, Y: 10021467, Z: NaN",MURDER,0100,2016-12-18T00:00:00.0000000,23,WALTON HEATH,CIR,4500
"X: 3115236, Y: 10031037, Z: NaN",MURDER,0100,2019-03-23T00:00:00.0000000,219,BANNOCK,LN,8000
"X: 3131810, Y: 10114922, Z: NaN",MURDER,0100,2019-06-28T00:00:00.0000000,430,LAMAR,BLVD,11800
"X: 3137135, Y: 10085248, Z: NaN",MURDER,0100,2017-03-15T00:00:00.0000000,1246,SPRINGDALE,RD,6400
"X: 3114628, Y: 10070284, Z: NaN",MANSLAUGHTER,0102,2019-07-04T00:00:00.0000000,1804,5TH,ST,0
"X: 3103672, Y: 10058133, Z: NaN",MURDER,0100,2019-06-23T00:00:00.0000000,249,SOUTHRIDGE,DR,3600
"X: 3125926, Y: 10072559, Z: NaN",MURDER,0100,2019-06-24T00:00:00.0000000,2051,ROSEWOOD,AVE,2600
"X: 3151533, Y: 10100687, Z: NaN",CAPITAL MURDER,0101,2016-07-20T00:00:00.0000000,1406,KIRKOSWALD,RD,11000
"X: 3101752, Y: 10047289, Z: NaN",MURDER,0100,2019-07-20T00:00:00.0000000,2158,TURTLE CREEK,BLVD,700
"X: 3129362, Y: 10101733, Z: NaN",MURDER,0100,2019-02-25T00:00:00.0000000,24,IH 35,SVRD,8800
"X: 3133963, Y: 10084945, Z: NaN",MURDER,0100,2016-06-16T00:00:00.0000000,436,SWEENEY,CIR,5800
"X: 3113054, Y: 10066096, Z: NaN",MURDER,0100,2017-05-19T00:00:00.0000000,709,CONGRESS,AVE,600
"X: 3112987, Y: 10044472, Z: NaN",MURDER,0100,2019-08-04T00:00:00.0000000,957,CHAPARRAL,TRL,2500
"X: 3122188, Y: 10058144, Z: NaN",MURDER,0100,2019-07-26T00:00:00.0000000,2236,RIVERSIDE,DR,4700
"X: 3122208, Y: 10107272, Z: NaN",MURDER,0100,2019-09-23T00:00:00.0000000,54,GALEWOOD,DR,9000
"X: 3114128, Y: 10034927, Z: NaN",MURDER,0100,2019-03-17T00:00:00.0000000,1835,ONION CREEK,DR,0
"X: 3137135, Y: 10085248, Z: NaN",MURDER,0100,2019-07-18T00:00:00.0000000,2316,SPRINGDALE,RD,6400
"X: 3139606, Y: 10084977, Z: NaN",CAPITAL MURDER,0101,2017-12-26T00:00:00.0000000,2345,ED BLUESTEIN,BLVD,6600
"X: 3128359, Y: 10107000, Z: NaN",MANSLAUGHTER,0102,2017-11-23T00:00:00.0000000,2340,LAMAR,BLVD,9600
"X: 3116414, Y: 10070250, Z: NaN",MURDER,0100,2019-08-30T00:00:00.0000000,141,SABINE,ST,600
"X: 3110888, Y: 10048856, Z: NaN",MURDER,0100,2018-11-11T00:00:00.0000000,1132,IH 35,SVRD,4700
"X: 3128877, Y: 10124578, Z: NaN",MANSLAUGHTER,0102,2018-12-23T00:00:00.0000000,1234,RAMPART,ST,12500
"X: 3121227, Y: 10089776, Z: NaN",MURDER,0100,2017-10-29T00:00:00.0000000,614,AVENUE F,,5500
"X: 3112478, Y: 10106345, Z: NaN",CAPITAL MURDER,0101,2019-01-25T00:00:00.0000000,1755,SONNET,AVE,8100
"X: 3115934, Y: 10066007, Z: NaN",MURDER,0100,2019-03-07T00:00:00.0000000,1950,IH 35,SVRD,0
"X: 3130539, Y: 10074841, Z: NaN",MURDER,0100,2019-04-09T00:00:00.0000000,2244,12TH,ST,3900
"X: 3127384, Y: 10104616, Z: NaN",CAPITAL MURDER,0101,2019-01-20T00:00:00.0000000,2200,LAMAR,BLVD,9000
"X: 3103997, Y: 10057300, Z: NaN",CAPITAL MURDER,0101,2019-03-24T00:00:00.0000000,29,SOUTHPORT,DR,1200
"X: 3125775, Y: 10085607, Z: NaN",MURDER,0100,2018-09-01T00:00:00.0000000,737,52ND,ST,1300
"X: 3129642, Y: 10108927, Z: NaN",MURDER,0100,2019-08-11T00:00:00.0000000,150,LAMAR,BLVD,10200
"X: 3112601, Y: 10041605, Z: NaN",MURDER,0100,2019-07-20T00:00:00.0000000,544,TURNSTONE,DR,4500
"X: 3129996, Y: 10096983, Z: NaN",CAPITAL MURDER,0101,2018-11-06T00:00:00.0000000,1233,NORWOOD PARK,BLVD,1000
"X: 3106182, Y: 10046764, Z: NaN",MURDER,0100,2017-10-08T00:00:00.0000000,2122,STASSNEY,LN,500
"X: 3114583, Y: 10051563, Z: NaN",MURDER,0100,2018-09-29T00:00:00.0000000,2355,BEN WHITE BLVD,SVRD,2100
"X: 3142154, Y: 10115695, Z: NaN",MURDER,0100,2018-09-11T00:00:00.0000000,1723,PARMER,LN,1500
"X: 3122208, Y: 10107272, Z: NaN",MURDER,0100,2019-09-10T00:00:00.0000000,1930,GALEWOOD,DR,9000
"X: 3139512, Y: 10087237, Z: NaN",MURDER,0100,2018-12-31T00:00:00.0000000,2304,ED BLUESTEIN BLVD,SVRD,7000
"X: 3124676, Y: 10111319, Z: NaN",MURDER,0100,2018-08-25T00:00:00.0000000,14,MEARNS MEADOW,BLVD,1600
"X: 3137140, Y: 10085508, Z: NaN",MURDER,0100,2018-06-02T00:00:00.0000000,1820,SPRINGDALE,RD,6400
"X: 3118138, Y: 10109047, Z: NaN",MANSLAUGHTER,0102,2018-06-29T00:00:00.0000000,2255,RESEARCH BLVD,SVRD,9000
"X: 3106388, Y: 10038359, Z: NaN",MURDER,0100,2018-09-27T00:00:00.0000000,2347,BLUFF SPRINGS,RD,7300
"X: 3120005, Y: 10055810, Z: NaN",MURDER,0100,2018-06-21T00:00:00.0000000,1509,OLTORF,ST,0
"X: 3106914, Y: 10054630, Z: NaN",MURDER,0100,2018-05-19T00:00:00.0000000,436,BEN WHITE BLVD,SVRD,300
"X: 3101271, Y: 10096766, Z: NaN",MURDER,0100,2018-09-26T00:00:00.0000000,141,PALISADE,CT,5600
"X: 3104466, Y: 10038972, Z: NaN",MURDER,0100,2018-08-26T00:00:00.0000000,2156,IH 35,SVRD,7500
